run_name,timestamp,model_name,input_encoding,architecture_scale,num_params,estimated_flops_per_position,epochs_trained,best_epoch,best_score,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,val_accuracy,val_pr_auc,train_samples_per_second,test_samples_per_second,fit_elapsed_seconds,batch_size,learning_rate,epochs_configured,git_commit,config_hash
idea_i193_exchange_then_king_dual_stream_seed42,2026-05-10T19:32:02Z,exchange_then_king_dual_stream,simple_18,base,157348,13542388,11,10,0.8900519639772544,0.8666979582257686,0.7549019607843137,0.888795045045045,0.8163951383501422,0.9459499802862505,0.8900519639772544,,,15108.823846651347,11588.146879565695,180.25919135287404,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,54778356877e2cbb
idea_i011_vetoselect_positive_claim_abstention_seed42,2026-05-09T18:38:14Z,vetoselect_positive_claim_abstention,lc0_bt4_112,base,501602,46608258,10,9,0.8720589227088962,0.8605961042008918,0.8267467594056276,0.736204954954955,0.7788533134772897,0.9336487463847554,0.8720589227088962,,,14283.005783944202,11535.587510070038,189.9527041753754,256,0.001,12,2e03965698dfe824efd0020628d3cc17da37547a,78d0bc5b794fd869
idea_i018_oriented_tactical_sheaf_laplacian_seed42,2026-05-09T21:25:06Z,oriented_tactical_sheaf_laplacian,simple_18,base,91363,9021281,13,12,0.8678257751435028,0.8637878432292889,0.7737102657634184,0.8360078828828829,0.8036535859269283,0.9351549628769322,0.8678257751435028,,,2255.2303730332687,5453.396935117578,1010.2426026761532,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,0abd785dd3f9ede2
idea_i048_rule_automorphism_quotient_bottleneck_network_seed42,2026-05-10T04:25:59Z,rule_automorphism_quotient_bottleneck_network,simple_18,base,179442,20538538,13,12,0.8674182747693877,0.8541187514667918,0.7345070422535211,0.8809121621621622,0.8010752688172043,0.9341202933621601,0.8674182747693877,,,14845.777539568773,11959.024264428688,182.3196857534349,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,3b31909c4ca3fc0c
idea_i188_tactical_program_induction_network_seed42,2026-05-10T19:08:38Z,tactical_program_induction_network,simple_18,base,709740,129353633,13,12,0.8664098936658265,0.8440741609950716,0.7207564791034322,0.8690878378378378,0.7880025526483727,0.929636411572653,0.8664098936658265,,,5820.7723683814465,8328.155298017362,415.6963614644483,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,94d1c123b14730eb
idea_i042_legal_automorphism_quotient_network_seed42,2026-05-10T03:53:41Z,legal_automorphism_quotient_network,simple_18,base,174305,20438977,13,12,0.8641417398414514,0.8099507157944145,0.6481427601590535,0.9407376126126126,0.7674992822279644,0.931077578044561,0.8641417398414514,,,15098.073764548722,12054.786206102384,180.92361354641616,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,c4b3e288e9f24a83
benchmark_bench_residual_small_lc0bt4_scale_xl_seed42,2026-05-09T16:24:42Z,residual_cnn,lc0_bt4_112,scale_xl,1094689,140187937,16,15,0.8622478287767958,0.8550574982398498,0.7548870271642549,0.837134009009009,0.7938859965291684,0.9290371881326083,0.8622478287767958,,,12081.628271696449,10456.750288715904,349.87498324457556,128,0.001,20,2e03965698dfe824efd0020628d3cc17da37547a,31cb4d9ffa18baf1
idea_i192_latent_reply_entropy_network_seed42,2026-05-10T19:26:37Z,latent_reply_entropy_network,simple_18,base,105452,12348633,13,12,0.8622455734688951,0.85360244074161,0.7338340570355593,0.8802083333333334,0.800384,0.9333332748502675,0.8622455734688951,,,13556.936419093268,11197.69089511835,199.44029449671507,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,675d86e825b81050
benchmark_bench_srpa_lc0bt4_seed42,2026-05-07T03:25:34Z,sparse_relation_pursuit_asymmetry,lc0_bt4_112,base,121115,127736389,17,16,0.7952403235510395,0.8562309317061723,0.7572246976448123,0.8372747747747747,0.7952403235510395,0.9292838776342359,0.8619204627496828,,,471.38334750991675,1610.406956235276,9652.903538525105,64,0.0003,30,0483a60d4ecec2276251d29ff4f35a2373354212,1711373a01682cda
idea_i191_safe_reply_certificate_verifier_seed42,2026-05-10T19:20:48Z,safe_reply_certificate_verifier,simple_18,base,115438,15152817,13,12,0.8588851267928809,0.8442149730110303,0.7070342413302703,0.9097691441441441,0.7956909818405663,0.9316179566167463,0.8588851267928809,,,14899.570096499867,11804.975507554203,183.69966203533113,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,0af6c87228599f76
